Unnamed: 0,Author,Year,Title,Grau,Course,Pages,Institution,City,Link,Resumo,Autor,Orientador,Palavras,Area,Linha,Projeto,Financiador,PDF_Name
47,"Araujo, Ismael Cesar Da Silva",2023,Adaptive Ansatz Based On Low-Rank State Preparation,Mestrado, Ciências Da Computação,53,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13769135,"algoritmos de preparação do estado quântico consistem em definir de uma sequência de operações unitárias para carregar um estado-alvo específico em um computador quântico. podemos utilizar estes algoritmos em aplicações como aprendizagem de máquina quântica. no entanto, alguns algoritmos para inicialização de estados quânticos têm uma complexidade de circuito exponencial com o número de qubits no sistema. é o caso dos algoritmos de codificação nas amplitudes, que é um tipo de codificação para carregar dados normalizados nas amplitudes de probabilidade do estado. para contornar esta sobrecarga na complexidade, trabalhos exploram propriedades específicas dos estados quânticos para otimizar a complexidade do circuito, como a esparsidade ou a simetria. outros trabalhos exploram a simplificação do circuito quântico para carregar um estado aproximado. é o caso das redes generativas adversariais quânticas, que utilizam uma arquitetura de circuito específica composta por blocos alternados de rotações de um qubit e portas controladas de emaranhamento de dois qubits. porém, quando treinadas para carregar distribuições aleatórias, observamos que o desempenho se deteriora à medida que o número de qubits aumenta segundo a entropia relativa. neste trabalho, propomos uma arquitetura diferente para os modelos generativos quânticos, baseada no algoritmo de preparação de estados conhecido como low-rank. e através de experimentos para carregar a distribuição log-normal, mostramos redução no erro da inicialização dos estados quânticos.",Ismael Cesar Da Silva Araujo,Adenilton Jose Da Silva,"['Computação Quântica', 'Apredizagem De Máquina Quântica', 'Circuitos Quânticos Variacionais', 'Redes Generativas Adversariais Quânticas']",Computação Inteligente,['Inteligência Artificial Simbólica'],,,Download Failed
48,"Baptista, Pedro Vinicius Ferreira",2021,Pretty Good State Transfer,Mestrado, Ciências Da Computação,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11322957,"passeios quânticos em tempo contínuo é uma das áreas de pesquisa em teoria algébrica de grafos e computação quântica. uma das suas sub-áreas de pesquisa é a de transferência de estados entre vértices de um grafo. transferências de estados são importantes, pois permitem avaliar em quais casos uma rede com comunicação feita através de estados modelados por um grafo permitem que esses estados sejam transmitidos com o máximo possível de probabilidade de maneira eficiente. em geral, trabalhos sobre transferência de estados lidam com transferências perfeitas ou quase perfeitas entre dois vértices. transferências perfeitas de estado possuem caracterizações para as matrizes de adjacência e laplaciana. além disso, foi mostrado ser possível verificar transferências perfeitas de estado em um grafo com um algoritmo polinomial. em relação a transferências quase perfeitas, embora existam caracterizações para sua ocorrência, tais caracterizações demandam um certo trabalho para sua verificação em grafos e nenhum algoritmo exato é conhecido para validar sua existência. alguns artigos mostram que, devido às restrições que as transferências perfeitas impõem nos autoespaços do grafo, tais transferências são relativamente raras em classes comuns de grafos. portanto, é natural tentar verificar a ocorrência de transferências quase perfeitas de estados. nessa dissertação, apresenta-se o primeiro algoritmo exato para conferir a ocorrência de transferências quase perfeita de estados em grafos. além disso, aplicou-se resultados conhecidos nas matrizes de adjacência e laplaciana de transferências perfeita e quase perfeita de estados na matriz normalizada laplaciana, considerando sua relação com passeios clássicos em grafos.",Pedro Vinicius Ferreira Baptista,Gabriel De Morais Coutinho,"['Teoria Algébrica De Grafos', 'Passeios Quânticos', 'Transferências De Estado', 'Computação Quântica']",Ciencia Da Computacao,[''],,,48-PedroViniciusFerreiraBaptista.pdf
49,"Vieira, Luciano Alves",2022,Processos De Construção E De Decodificação De Códigos Quânticos Tóricos,Mestrado, Engenharia Elétrica,116,Universidade Estadual De Campinas,Campinas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11966078,"neste trabalho, apresentamos um estudo sobre construção e decodificação do código tórico, primeiro código quântico topológico proposto. inicialmente, compilamos os conceitos preliminares necessários à compreensão do tema. para a apresentação do código tórico, estudamos sua estrutura e identificamos seus parâmetros por meio de duas abordagens, a primeira fundamentada principalmente na teoria de homologia e co-homologia, e a segunda visando entender o comportamento dos anyons dentro do sistema. por fim, o problema da decodificação é introduzido para dois modelos de erros: um que considera a síndrome fidedigna e outro que prevê a existência de erros nas medições dos geradores do código. analisamos as particularidades que surgem na decodificação com cada um dos casos. ao longo do trabalho, buscamos utilizar exemplos que reforcem os conceitos apresentados.",Luciano Alves Vieira,Reginaldo Palazzo Junior,"['Código Tórico', 'Computação Quântica', 'Códigos Corretores De Erros Quânticos', 'Códigos Quânticos Topológicos.']",Telecomunicacoes E Telematica,"['Teoria Da Informação', ' Codificação E Criptografia (Ag)']",,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado No País Gm,49-arquivo_Luciano_Alves_Vieira.pdf
50,"Teles, Laurita Istefani Da Silva",2021,Localização  Em Caminhadas Quânticas Com Um Único Defeito De Rede,Mestrado, Física,50,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10860241,"neste trabalho, estudamos como um único defeito de rede em uma caminhada quântica de tempo discreto afeta a probabilidade de retorno de uma partícula quântica. o defeito é modelado por uma moeda quântica na posição de origem do caminhante que é distinta das demais moedas sobre a rede. essa moeda tem uma dependência explícita com um parâmetro �� que quantifica a intensidade da localização. investigamos dois diferentes tipos de defeitos para os quais mostramos como a localização pode ter uma dependência apenas com �� (n. konno, quantum inf. process. 9, 405, 2010) e também, com os ângulos polar �� e azimutal �� do qubit inicial (a. wójcik et al, phys. rev. a 85, 012329, 2012) por meio de cálculos numéricos. além disso, propomos um novo defeito de rede, cuja localização possui uma dependência adicional em �� + �� levando a perfis extras de localização. comparamos as caminhadas quânticas com nosso defeito de rede às anteriores da literatura e discutimos suas propriedades de propagação e probabilidade de sobrevivência.",Laurita Istefani Da Silva Teles,Edgard Pacheco Moreira Amorim,"['Caminhadas Quânticas', 'Localização', 'Defeito De Rede', 'Probabilidade De Sobrevivência']",Física,['Informação E Computação Quântica'],Informação E Computação Quântica: Aplicações Da Caminhada Aleatória Quântica,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,50-Dissertação_-_Laurita.pdf
51,"Engster, Joao Pedro",2021,Transferência De Estados Em Grafos Via Caminhadas Quânticas Contínuas No Tempo,Mestrado, Física,58,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11136121,"quando um estado quântico se espalha por uma rede de posições discretas, em certas circunstâncias é possível que este se recomponha em outra região da rede, fenômeno chamado de transferência de estado. neste trabalho, investigamos a transferência de estado a partir de caminhadas quânticas contínuas no tempo em grafos circulares cn. descobrimos que estados iniciais dados por uma superposição de estados de posição que obedece uma distribuição estatística,cuja dispersão inicial é suficientemente grande, possuem transferência de estado e periodicidade com alta fidelidade, mesmo em grafos grandes (n ⩾ 100). a fidelidade melhora à medida que o estado inicial se aproxima de uma distribuição gaussiana. identificamos os principais aspectos da geometria da distribuição do estado inicial que otimizam a transferência de estado e encontramos uma expressão analítica para calcular a densidade de probabilidade de um estado gaussiano ao longo do tempo para diferentes tamanhos do grafo cn.",Joao Pedro Engster,Edgard Pacheco Moreira Amorim,"[': Caminhadas Quânticas', 'Grafos', 'Estados Deslocalizados', 'Transferência De Estados']",Física,['Informação E Computação Quântica'],Informação E Computação Quântica: Aplicações Da Caminhada Aleatória Quântica,,51-Dissertação_-_João_Pedro.pdf
52,"Cerutti, Lorena Rosa",2023,Caminhadas Quânticas Desordenadas Com Barreira Absorvedora,Mestrado, Física,96,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13824413,"neste trabalho estudamos o comportamento da probabilidade de escape para caminhadas quânticas unidimensionais de tempo discreto com barreira absorvedora em diferentes posições da rede via método analítico e simulações numéricas. a partir de ambas as abordagens, observamos que a probabilidade de escape depende do estado interno inicial do caminhante (qubit) e da posição da barreira absorvedora. em seguida, estudamos caminhadas quânticas desordenadas dinamicamente e estaticamente com uma barreira absorvedora, assumindo que para uma quantidade de passos de tempo muito grande, a probabilidade de escape média sobre várias caminhadas segue uma lei de potência com o tempo. nesse contexto, obtemos que quando a barreira está muito próxima do caminhante, no geral, ele é totalmente absorvido pela barreira em taxas de tempo cada vez maiores na medida que o nível de desordem da caminhada aumenta, tornando-se muito semelhante ao comportamento clássico em alguns casos. por outro lado, quando a barreira está bem afastada da origem, as taxas de absorção diminuem significativamente, ao ponto que a partícula escapa parcialmente ou totalmente da barreira absorvedora em alguns casos de desordem estática.",Lorena Rosa Cerutti,Edgard Pacheco Moreira Amorim,"['Caminhadas Quânticas', 'Localização', 'Barreira De Absorção', 'Desordem']",Física,['Informação E Computação Quântica'],Informação E Computação Quântica: Aplicações Da Caminhada Aleatória Quântica,Fundacao De Amparo A Pesquisa E Inovacao Do Estado De Santa Catariana - Edital De Chamada Pública Fapesc/Capes Nº 21/2021,52-Lorena_dissertacao.pdf
53,"Andrade, Joacir Soares De",2023,Aplicações Da Função Wq De Lambert-Tsallis E Da Disentropia Em Distribuição Quântica De Chaves,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14426140,"a presente tese versa sobre distribuição quântica de chaves e está dividida em uma parte teórica e uma parte experimental. na parte teórica, a função w<sub>q</sub> de lambert-tsallis é utilizada para encontrar a fórmula analítica do comprimento de canal que maximiza a taxa de transmissão de bits seguros em uma rede óptica com sinais clássicos e quânticos trafegando na mesma fibra, em comprimentos de onda diferentes, e considerando o espalhamento raman espontâneo. em seguida w<sub>q</sub> é utilizada para calcular a flutuação de portadores em um modulador de amplitude integrado em sio2 usado em qkd de variáveis contínuas, e no cálculo do parâmetro que modela um canal quântico estocástico de transmissividade com distribuição uniforme. por fim, um novo protocolo de distribuição quântica de chaves chamado qkd baseado em disentropia, foi proposto. este protocolo utiliza modulação de amplitude e detecta a presença de espionagem utilizando a disentropia. é o primeiro protocolo de qkd que não utiliza a taxa de erro para detectar espionagem e é também o de mais simples implementação prática. na parte experimental, são apresentados os resultados experimentais de um detector de fótons controlado remotamente por luz.",Joacir Soares De Andrade,Rubens Viana Ramos,"['Distribuição Quântica De Chaves', 'Função Wq De Lambert-Tsallis', 'Disentropia', 'Aleatoriedade']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Comunicações Quânticas Em Redes Ópticas E Computadores Quânticos Fotônicos,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,53-2023_tese_jsandrade.pdf
54,"Castro, Giselle Silva",2023,Distribuição Quântica De Chaves: Detector De Fótons Remotamente Controlado Por Luz E Detecção De Espionagem Usando A Disentropia,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13754185,"a presente tese trata de aspectos teóricos e experimentais de distribuição quântica de chaves. no que concerne aos aspectos teóricos, uma nova forma de detectar a ação de um(a) espião(ã) através do cálculo da aleatoriedade da chave usando a disentropia da autocorrelação é apresentada. a existência de uma segunda forma de detectar uma ação de espionagem aumenta segurança e confiabilidade dos sistemas de distribuição quântica de chaves. no que diz respeito à parte experimental, é apresentado um circuito para detecção de fótons usando fotodiodo de avalanche com extinção engatilhada da fotocorrente através da luz, permitindo um controle remoto do detector de fótons. desta forma, o esquema apresentado facilita o sincronismo entre transmissor e receptor na rede de comunicação quântica. o circuito proposto é descrito e os resultados experimentais são apresentados.",Giselle Silva Castro,Rubens Viana Ramos,"['Distribuição Quântica De Chaves', 'Detector De Fótons Únicos', 'Espionagem', 'Disentropia']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Comunicações Quânticas Em Redes Ópticas E Computadores Quânticos Fotônicos,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,Download Failed
55,"Luiz, Bruna Schwarz Nunes",2021,Um Estudo Exploratório Envolvendo Criptografia E Noções De Computação Quântica,Mestrado Profissional, Matemática Em Rede Nacional,105,Universidade Federal De São Carlos,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10033023,"neste trabalho, será apresentada um estudo exploratório sobre o ensino da criptografia e a influência do computador quântico na segurança de dados. o objetivo é demonstrar uma forma de como a fatoração e computação quântica pode ser aplicada no ensino regular nos anos finais do ensino fundamental. os estudantes, apesar de terem muito contato com computadores diariamente, não entendem o que é um computador, os quanto seguros estão nas redes sociais e plataformas que usam e, muito menos, conhecem o desenvolvimento da computação quântica que é um tema tão atual e com muito poder de transformação no cotidiano de todos. com a apresentação das aulas espera-se que os alunos tenham um panorama geral de criptografia e da computação quântica para que, assim, estejam em contato com a matemática de forma mais aplicada e interessante.",Bruna Schwarz Nunes Luiz,Silvia Maria Simoes De Carvalho,"['Criptografia', 'Fatoração', 'Computador Quântico', 'Estudo Exploratório.']",Matemática,[''],,,55-dissertaçãoBRUNA_final.pdf
56,"Netto, Victor Goncalves",2020,Emaranhamento Genuíno Nas Variáveis Espaciais De Sistemas Tripartidos E Quadripartidos De Fótons,Mestrado, Física,69,Universidade Federal De Goiás,Goiânia,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10629681,"esta dissertação trata do emaranhamento genuı́no nas variáveis espaciais de um sistema tripartido de fótons e de um sistema quadripartido de fótons. cada termo usado na frase anterior foi investigado ao longo da realização deste trabalho e os primeiros capı́tulos desta dissertação são reservados para discutir o significado desses termos. os estados de fótons são alcançados com o uso de um esquema experimental que usa o fenômeno spdc, do inglês spontaneous parametric down-conversion. dedicamos algumas páginas para tratar do spdc, mas com um objetivo em mente: obter os estados de fótons. esses estados são então submetidos ao critério de emaranhamento de van loock-furusawa, confirmando que, sob determinadas condições, ocorre emaranhamento genuı́no.",Victor Goncalves Netto,Ardiley Torres Avelar,"['Óptica Quântica', 'Informação E Computação Quântica', 'Emaranhamento Quântico', 'Spdc']",Física,['Óptica Quântica E Informação Quântica'],"Estados Não Clássicos, Campos Escalares E Estruturas De Defeitos: Preparação, Propriedades E Aplicações",Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,56-Dissertacao.pdf
57,"Alves, Warley Marcos Santos",2023,Reconstrução Pticográfica De Estados De Múltiplos Qubits Em Um Computador Quântico,Mestrado, Física,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14447224,"o desenvolvimento de tecnologias quânticas de segunda geração (sensores quânticos, computadores quânticos e internet quântica) vem sendo realizado por grandes empresas e tem recebido investimentos estatais da ordem de bilhões de dólares em vários países. dentre essas tecnologias, o computador quântico ganhou um destaque maior na mídia por sua promessa de resolver problemas de forma muito mais rápida e eficiente que computadores clássicos, o que poderia produzir inúmeros avanços científicos com impactos na sociedade e na indústria. nos últimos anos, empresas como ibm, google, microsoft, entre outras, apresentaram grandes progressos na construção dos primeiros protótipos de hardware e software quânticos. no entanto, esses protótipos são dispositivos que operam com poucos qubits e são bastante afetados por ruído, o que ainda os impedem de realizar computação realmente útil. em particular, a ibm tem disponibilizado o acesso remoto a algumas de suas máquinas para o público geral, além de acesso especial a pesquisadores selecionados no seu programa de pesquisadores. usando esse recurso, neste trabalho nós estudamos um método para reconstrução de estados puros de um sistema de múltiplos qubits em um computador quântico. no contexto da computação quântica, esta é uma ferramenta muito útil, por exemplo, para determinar estados de entrada ou de saída de um dado algoritmo, ou para a caracterização das operações lógicas que constituem o algoritmo. o método que estudamos é conhecido como pticografia quântica, onde um estado puro é submetido a um conjunto de projeções com algum grau de interseção entre si, seguidas de uma medição projetiva em uma única base ortonormal. os resultados gerados no processo servem como entrada para um algoritmo iterativo que estima o estado. o nosso estudo se dividiu entre simulações e experimentos. as simulações foram realizadas em cenários ideais sem ruído e cenários mais realísticos com ruído, onde o método foi demonstrado com êxito para uma variedade de estados de até 6 qubits. nos experimentos, obtivemos bons resultados para a reconstrução de estados de até 4 qubits; os resultados para um número maior foram fortemente afetados pelo ruído nos dispositivos. as vantagens e limitações do método pticográfico são discutidas em comparação com outros métodos de reconstrução de estados. além de demonstrar a pticografia quântica em um computador quântico nós também obtivemos alguns avanços para o método. o primeiro foi uma modificação no algoritmo iterativo de reconstrução, que melhora a sua convergência e, consequentemente, a estimativa do estado. o segundo foi a utilização de bases de medição que são menos afetadas por ruído em computador quântico. este segundo avanço ainda é parte de um estudo preliminar mas aponta caminhos promissores para investigações futuras.",Warley Marcos Santos Alves,Leonardo Teixeira Neves,"['Pticografia Quântica', ' Tomografia De Estados Quânticos Puros', ' Computação Quântica', ' Estados Multi-Qubits']",Fisica,"['Óptica Quântica', ' Óptica Clássica']",,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado No País Gm,Download Failed
58,"Malavazi, Andre Hernandes Alves",2022,On The Energetic Analysis Of Autonomous Quantum  Systems,Doutorado, Física,130,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11619836,"durante as últimas décadas, houve muitos avanços teóricos e experimentais tanto na ex- tensão da termodinâmica para abranger sistemas microscópicos fora de equilíbrio quanto  na compreensão da mecânica quântica. somada a capacidade de última geração de con- trolar sistemas quânticos frágeis em uma ampla variedade de plataformas físicas, esse  contexto abriu caminho para os atuais esforços estratégicos para desenvolver uma teo- ria termodinâmica de sistemas quânticos. nesse sentido, o campo de pesquisa cunhado  como termodinâmica quântica (tq) já desempenha um papel fundamental no projeto e  desenvolvimento de futuras tecnologias baseadas em fenômenos quânticos. mais especi- ficamente, a tq visa tanto aplicar os conceitos e as noções termodinâmicas usuais para  descrever sistemas quânticos arbitrários fora do equilíbrio quanto entender o surgimento do comportamento termodinâmico clássico a partir da dinâmica fundamentalmente quântica  subjacente. no entanto, apesar de todo o progresso atual, ainda não existe um formal- ismo consolidado para uma descrição termodinâmica geral de objetos quânticos totalmente  autônomos. além disso, é particularmente notória a falta de consenso em relação a alguns aspectos centrais, como as definições de análogos quânticos de grandezas termodinâmicas. nesta tese, focamos na análise energética em sistemas quânticos autônomos. para isso, propomos um novo formalismo geral para uma descrição dinâmica das trocas energéticas  entre subsistemas interagentes. a partir da abordagem da decomposição de schmidt, iden- tificamos hamiltonianos efetivos como os operadores representativos para caracterização  das energias internas locais, cujos valores esperados satisfazem a noção termodinâmica usual da aditividade de energia. ao contrário das metodologias atualmente utilizadas, tal procedimento trata os subsistemas em pé de igualdade e não depende de nenhum tipo de aproximações e hipóteses adicionais, por exemplo, descrição semiclássica, regime de acoplamento fraco, conservação de energia estrita e dinâmica markoviana. em suma, nossa proposta contribui para o desenvolvimento da tq fornecendo um novo formalismo que não sofre das restrições usuais e estabelece uma nova e exata rota",Andre Hernandes Alves Malavazi,Frederico Borges De Brito,"['Termodinâmica Quântica', 'Sistemas Quânticos Abertos', 'Tecnologias Quânticas', 'Fundamentos Da Mecânica Quântica']",Fisica Basica,['Informação E Computaçao Quântica'],Computação Quântica Usando Dispositivos Supercondutores,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,58-AndreHernandesAlvesMalavazi_DO_original.pdf
59,"Cherubim, Cleverson Francisco",2020,Out-Of-Equilibrium Thermodynamics And Non-Thermal Heat Engines,Doutorado, Física,97,Universidade De São Paulo (São Carlos),São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9282478,"termodinâmica quântica (tq) é um campo de pesquisa recente que visa investigar como as leis da termodinâmica e da mecânica quântica funcionam em conjunto em pequenos sistemas quanticos. com avanços na tecnologia necessária para controlar e medir esses pequenos sistemas, esta área de pesquisa tem adquirido cada vez mais importância, não somentente no sentido de que agora elas podem começar a serem testadas, o que é algo de extrema importância para pesquisa, mas também que novas aplicações podem ser implementadas nessas escalas, portanto, uma boa compreensão das limitações impostas pela termodinâmica quântica tornasse de suma importância na busca desses objetivos, o que força físicos teóricos a produzir conteúdos experimentalmente relevantes desses novos conceitos. outro aspecto importante associado a estes sistemas é que parte deles podem operar fora do equilíbrio termodinâmico, sendo descritos por estados não térmicos, e em particular estados não térmicos estacionários, devendo portanto serem descritos termodinamicamente de maneira distinta, o que geralmente recebe o nome de termodinâmica de estados estacionários, portanto um dos principais objetivos desta tese será o de fornecer uma introdução a tq de sistemas fora do equilíbrio. um dos mais importantes subtópicos estudados em tq e o que daremos bastante ênfase nesta tese será o uso de estados estacionários não térmicos na construção de máquinas operando no regime quântico, e a análise das novas características que este regime podem propiciar, como o uso de recursos quânticos com o intuito de superar limitações clássicas em sua performance, como a obtenção de eficiências superiores a eficiência de carnot ou operar em certos regimes não permitidos usando somente ingredientes clássicos. isto tem gerado um grande êxtase na comunidade científica que tem abordado este problema de diversas formas, por exemplo, quando estados estacionários não térmicos são usados, um tipo “diferente"" de energia é observado e que possui o intuito de impedir que este sistema relaxe pra um estado térmico, esta energia é chamada de calor de housekeeping e precisa ser levada em consideração quando estamos lidando com a segunda lei da termodinâmica e consequentemente com o limite superior da eficiência de uma máquina térmica caso estejamos usando esses estados na substância de trabalho (st). outra abordagem utililizada neste problema se dá através da distinção do “calor"" recebido pelo ambiente em dois tipos diferentes de energia, variação de energia passiva que é responsável por variações de entropia, e a variação de ergotropia, que é uma energia do tipo trabalho que pode ser extraída a posteriori através de transformações unitárias. e nesse caso novamente, o critério de irreversibilidade para se obter os limites de eficiência é diferente, por que a ergotropia não causa varição entrópica. através dos exemplos acimae de uma série de outros pontos, vemos que é de suma importância tornar mais clara a compreensão de sistemas operando fora do regime térmico e que qualquer conteúdo produzido que esteja bem adequado a verificações experimentais é muito mais que bemvindo. elaboramos um ciclo termodinâmico relevante sob o ponto de vista experimental usando um transmon no regime de qubit como st em contato com um ambiente não térmico composto por dois subsistemas, uma cavidade excitada por um campo externo e banho clássico com temperatura t. a st passa por um ciclo não convencional (diferente dos ciclos de otto, carnot, etc.) através de uma sucessão de estados estcionários não térmicos obtidos através da variação muito lenta de sua frequência e da amplitude do campo externo aplicado à cavidade. a eficiência dessa máquina adquire um valor máximo da ordem de 47% no regime de operação usado. também queríamos olhar para o papel dos diferentes tipos de coerência, presentes na st, sobre o comportamento da máquina e sua eficiência. por diferentes tipos de coerência nós nos referimos as tão conhecidas ordens de coerência, cuja definição se baseia em como elas respondem a transformações de simetria. fizemos essa análise para o caso trivial do qubit, que contém somente os modos 1 e -1, e que se demonstraram ser de extrema importante para a eficiência da máquina. o mesmo procedimento foi repetido para um sistema de 3 níveis usado como st. os modos 1 e -1 se demonstraram novamente bastante importantes, não somente para o valor absoluto da máquina mas também para o regime de funcionamento desta. as ordens adicionais, 2 e -2, tiveram um impacto negativo na eficiência, reduzindo seu valor absoluto. este resultado parece nos fornecer evidências de que “quantumness"" não necessariamente trará ganhos à operação dessas máquinas.",Cleverson Francisco Cherubim,Frederico Borges De Brito,"['Termodinâmica Fora Do Equilíbrio', 'Termodinâmica De Estados Estacionários', 'Termodinâmica Quântica', 'Máquina Térmica Quântica']",Fisica Basica,['Informação E Computaçao Quântica'],Computação Quântica Usando Dispositivos Supercondutores,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,59-CleversonFranciscoCherubim_DO_original.pdf
60,"Silva, Josie Pereira Da",2023,Projeto E Fabricação De Uma Sonda De Rmn Com Microressonador Planar Integrado À Um Dispositivo De Microfluídica Para Amostras Com Volumes Nanométricos,Mestrado Profissional, Física,undefined,Centro Brasileiro De Pesquisas Físicas,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13936056,"sondas de ressonância magnética nuclear (rmn) para amostras líquidas são amplamente utilizadas em diversos campos de pesquisa nas mais variadas aplicações, principalmente em física, química, biologia e seus respectivos desdobramentos. a técnica já consagrada por sua aplicabilidade, possui limitações relacionadas à sua sensibilidade. todavia, existem meios para ampliarmos seu alcance, tais como aumento do campo externo b0, a utilização de técnicas de hiperpolarização ou no caso de amostras com volume reduzido, a construção de microressonadores, aumentando, dessa forma, o acoplamento entre o sensor e a amostra. este trabalho apresenta o desenvolvimento e a fabricação de uma sonda e rmn utilizando microressonadores planares e microfluídica no sistema de amostragem para investigarmos amostras com volumes nanométricos. esta sonda foi projetada para operar em alto campo com magneto de 11.7 t, sintonizada em 500mhz com processamento de sinal realizado pelo console da bruker. com a minituarização do sistema de medida, conseguiu-se aplicar a técnica de espectroscopia de rmn em 32 nanolitros de amostra.",Josie Pereira Da Silva,Alexandre Martins De Souza,"['Rmn', 'Microslot', 'Microressonador Planar', 'Nanoamostras', 'Nanofabricação', 'Microuidica']",Instrumentação Científica,['Computação Quântica'],Intrumentação E Métodos Para Computação Quântica,,60-Dissertação_MP_final_Josie_Pereira.pdf
61,"Lugao, Pedro Henrique Gasparetto",2023,Análise Assintótica De Passeios Quânticos Para Algoritmos De Busca Com Múltiplos Marcados,Doutorado, Modelagem Computacional,62,Laboratório Nacional De Computação Ciêntífica,Petrópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13991307,"dado um grafo qualquer é possível definir um operador que representa a evolução de estados respeitando a localidade do grafo. a busca quântica, representada por uma pequena perturbação em alguns nós nesse operador de evolução para marcá-los, se baseia em evoluir o estado quântico por um determinado número de passos até que a probabilidade de encontrar um dos nós marcados seja máxima. encontrar o número de passos e a probabilidade de sucesso final em grafos de interesse com um número qualquer de marcados é o principal objetivo deste trabalho. para tal, desenvolvemos um método analítico que obtém uma expressão assintótica no número de nós para as quantidades desejadas a partir da análise de dois autovetores principais da matriz de evolução. o método foi desenvolvido para o caso de passeios discretos e contínuos, com exemplos na malha bidimensional e em grafos de johnson, respectivamente e ambos com dois elementos marcados. para um exemplo ainda mais geral é apresentada a análise de passeios contínuos em t-designs, uma abstração matemática que nos gera diferentes grafos bipartidos. neste último caso obtemos expressões analíticas dependendo não apenas dos parâmetros do grafo, como também do número de marcados. os exemplos estudados são casos onde não há uma teoria tão precisa a respeito da probabilidade de sucesso e tempo ótimo de passeios quânticos e também mostram o potencial do método desenvolvido para lidar com problemas mais gerais.",Pedro Henrique Gasparetto Lugao,Renato Portugal,"['Busca Quântica', 'Passeios Quânticos A Tempo Discreto', 'Passeios Quânticos A Tempo Contínuo']",Modelagem Computacional,['Computação Científica'],Computação Quântica Para Busca E Otimização,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado Gm E Doutorado Gd,61-TeseversaoFinal.pdf
